sentence,emotion
Schweiz darf Asylbewerber nicht mehr nach Ungarn zurückführen,Traurigkeit
Die USA veröffentlichen Geheimakten zur Trump-Überwachung,Überraschung
«Das macht mir extrem Angst»,Angst
"Der neue Bericht des Uno-Klimarats stellt sich der Frage, wie der Mensch in Zukunft leben kann. Die Antwort ist verworren",Traurigkeit
"Der neue Bericht des Uno-Klimarats stellt sich der Frage, wie der Mensch in Zukunft leben kann. Die Antwort ist verworren",Angst
«20 Minuten» animiert Junge zum Austritt – die Kirche findet das gar nicht lustig,Unklar
Zürichs Filmschaffen prescht vor,Freude
Zürichs Filmschaffen prescht vor,Traurigkeit
Kommission will Gegenvorschlag zur Konzernverantwortungsinitiative,Keine
Kommission will Gegenvorschlag zur Konzernverantwortungsinitiative,Vertrauen
Bund kann Whatsapp doch nicht überwachen,Unklar
Trumps Regierung zieht sich aus Uno-Menschenrechtsrat zurück,Ärger
Übersehene Zeitenwende?,Antizipation
Russlands Wiederwahl in UNO-Menschenrechtsrat gescheitert,Antizipation
Schützt Grippe-Impfung Säugling?,Antizipation
Viele Firmen erwartet kaum Veränderungen durch Digitalisierung,Antizipation
Das Verfassungsgericht hebt ein altes Verbot auf: Südkorea legalisiert Abtreibungen,Antizipation
Gibt es digitale Vorurteile?,Antizipation
«Die EU wird nicht auseinanderbrechen»,Keine
«Ein Versagen der Neuenburger SVP»,Vertrauen
Deutschland ist im Jagdfieber – und immer mehr Frauen haben Freude am «grünen Abitur»,Antizipation
Zehn Millionen Menschen in Äthiopien wegen Dürre vom Hunger bedroht,Traurigkeit
Neue Aufregung um «Charlie Hebdo»,Ärger
So funktionieren Bitcoin Transaktionen,Unklar
Gerade religiöse Menschen brauchen einen Staat ohne Gott,Unklar
Irreführende Werbung: Google Maps als Potemkinsches Dorf,Ärger
«Theologisch hat der Schleier keine Bedeutung»,Antizipation
Eine Maklerin für Obdachlose,Freude
Eine Maklerin für Obdachlose,Traurigkeit
Frauen stehen am meisten auf Frauen,Überraschung
Der Anteil Muslime an der europäischen Bevölkerung wird weiter wachsen: Wie will Europa damit umgehen?,Angst
Sex im Tausch gegen ein gutes Leben – ist das Prostitution?,Antizipation
Sex im Tausch gegen ein gutes Leben – ist das Prostitution?,Traurigkeit
Schweizer konsumieren pro Jahr 60 Tonnen Cannabis – doch die Politik träumt weiter von einer drogenfreien Welt,Antizipation
Schweizer konsumieren pro Jahr 60 Tonnen Cannabis – doch die Politik träumt weiter von einer drogenfreien Welt,Vertrauen
Digitales Potenzial für Datenschutz,Vertrauen
Öffentlicher Verkehr in den Agglomerationen ist auf NAF angewiesen,Antizipation
Öffentlicher Verkehr in den Agglomerationen ist auf NAF angewiesen,Vertrauen
Nationalrat gegen Frauenquote auf Wahllisten,Ärger
Nationalrat gegen Frauenquote auf Wahllisten,Antizipation
Die Akte Armstrong wird geschlossen,Ekel
Israel applaudiert Trump für den Rückzug aus dem Menschenrechtsrat,Antizipation
Israel applaudiert Trump für den Rückzug aus dem Menschenrechtsrat,Ekel
"Influenza, Vierfachimpfstoff und Wirksamkeit: Die wichtigsten Fakten zur diesjährigen Grippeimpfung",Antizipation
"Influenza, Vierfachimpfstoff und Wirksamkeit: Die wichtigsten Fakten zur diesjährigen Grippeimpfung",Vertrauen
Noch nie wurde im Sport soviel gedopt,Unklar
Ausstoss der Treibhausgase sinkt zu langsam - Abgabenerhöhung droht,Ärger
Ausstoss der Treibhausgase sinkt zu langsam - Abgabenerhöhung droht,Antizipation
Machtkämpfe im Radsport,Ärger
Machtkämpfe im Radsport,Ekel
«Der Islam ist eine geladene Waffe»,Ärger
"Bis um 2 Uhr draussen essen und trinken: Zürich testet «mediterrane Nächte», doch die Gegner künden erbitterten Widerstand an",Antizipation
Merkel will neues europäisches Asylrecht: Dublin-Abkommen ändern,Antizipation
Die Papi-Zeit wird mehrheitsfähig: Alles über die Debatte zum Vaterschaftsurlaub,Antizipation
Diese Politik ist käuflich,Überraschung
Diese Politik ist käuflich,Antizipation
Schweiz liegt bei erneuerbaren Energien im Mittelfeld,Antizipation
Schweiz liegt bei erneuerbaren Energien im Mittelfeld,Vertrauen
Wir sollen Zug und Elektro-Autos fahren,Antizipation
Wir sollen Zug und Elektro-Autos fahren,Vertrauen
"Vorsicht, Ideologiekritik! Wie die vermeintlich fortschrittlichen Filme der Oscar-Verleihung die Regression befeuern",Ärger
"Vorsicht, Ideologiekritik! Wie die vermeintlich fortschrittlichen Filme der Oscar-Verleihung die Regression befeuern",Angst
Börse macht süchtig wie das Casino,Überraschung
Börse macht süchtig wie das Casino,Angst
Die Spitäler in Uster und Wetzikon sollen fusionieren,Antizipation
Die Spitäler in Uster und Wetzikon sollen fusionieren,Vertrauen
Schliessen sich Kapitalismus und Demokratie aus?,Antizipation
Schliessen sich Kapitalismus und Demokratie aus?,Vertrauen
Wien befürchtet das Entstehen einer neuen Flüchtlingsroute über den Balkan,Antizipation
Burkhalter verlangt mehr Hilfsgelder,Antizipation
Über 140'000 Unterschriften für Konzernverantwortungsinitiative,Vertrauen
Umfrage: Mehrheit in der Schweiz für Frauenrentenalter 65,Antizipation
Dank Genschere ohne Erbschäden ins Leben,Antizipation
Ein Abstecher in die düstere Welt der Sekten,Vertrauen
«Ohne Grundeinkommen wird es nicht gehen»,Antizipation
«Ohne Grundeinkommen wird es nicht gehen»,Vertrauen
"Kommt Froome davon, hat der Radsport einen Totalschaden!",Ärger
"Kommt Froome davon, hat der Radsport einen Totalschaden!",Ekel
«Ehe für alle ist überfällig»,Antizipation
Parlament beseitigt gesetzliche Hürden für autonome Fahrzeuge,Antizipation
Sind Frauen selbst schuld am tieferen Lohn?,Unklar
"Atomenergie: Die Kraft, die die Gesellschaft spaltet",Überraschung
Der Hooliganismus ist eine Gefahr im toten Winkel,Angst
So gefährlich ist Kiffen für Teenies,Angst
Der gesellschaftliche Wandel wird auch in Argentinien kommen – auch wenn Abtreibungen weiter illegal bleiben,Überraschung
Der gesellschaftliche Wandel wird auch in Argentinien kommen – auch wenn Abtreibungen weiter illegal bleiben,Antizipation
Britische Werbeaufsicht: Ab 30 000 Followern gelten für Influencer dieselben Regeln wie für Prominente,Überraschung
Britische Werbeaufsicht: Ab 30 000 Followern gelten für Influencer dieselben Regeln wie für Prominente,Antizipation
"«Alles, was Gott erschaffen hat, ist gut»",Überraschung
Huawei schlägt zurück,Überraschung
Späte Beichte bringt Google mächtig Ärger,Überraschung
Späte Beichte bringt Google mächtig Ärger,Antizipation
New Yorker demonstrieren gegen Polizeigewalt gegen Schwarze in USA,Traurigkeit
Polen demonstrieren gegen strengere Abtreibungsgesetze,Überraschung
Polen demonstrieren gegen strengere Abtreibungsgesetze,Antizipation
Bundesrat passt Regeln zur Überprüfung der Medikamentenpreise an,Antizipation
Schluss mit Röhrli und Plastikteller,Unklar
Schwyz will nur noch freiwillig ans Opernhaus zahlen,Antizipation
Schwyz will nur noch freiwillig ans Opernhaus zahlen,Angst
Sieben Fäuste gegen die Unterdrückung,Freude
Sieben Fäuste gegen die Unterdrückung,Vertrauen
Klimademokratie statt Klimanotstand – die Klimawende wird in den Städten entschieden,Antizipation
Abtreibungen bleiben in Argentinien vorerst verboten,Traurigkeit
Google-Entwickler wettert gegen Frauenförderung,Ärger
Vorurteile kann man im Schlaf loswerden,Unklar
Nach Sperre: Russlands Antidoping-Agentur legt Einspruch ein,Ärger
Google meldet zwei Milliarden aktive Android-Geräte,Unklar
Ertrag aus Negativzinsen soll der zweiten Säule zugeführt werden,Antizipation
Verbände für «Flexibilisierung» des Arbeitsgesetzes,Unklar
Aber was ist Bitcoin eigentlich?,Antizipation
Aber was ist Bitcoin eigentlich?,Angst
Ist mein Handy noch sicher?,Unklar
Digital Influencer – getarnte Werber am Werk,Überraschung
Flüchtlinge legen nach tödlichem Unfall Feuer in griechischem Lager,Traurigkeit
"Stimmt, was er über den Islam behauptet?",Unklar
Liechtenstein wagt es noch einmal: «Faites vos jeux»,Antizipation
CVP-Delegierte sagen klar Ja zur Altersreform 2020,Antizipation
Der deutsche Krampf mit dem Islam,Überraschung
Der deutsche Krampf mit dem Islam,Antizipation
Eine Reise in die Heimat des Atoms,Überraschung
Eine Reise in die Heimat des Atoms,Ekel
Eine Reise in die Heimat des Atoms,Angst
«Das ist eine Verzweiflungstat der SVP»,Vertrauen
Der Teufelskreis des Strafens: Wir strafen immer mehr – aber erreichen wir damit wirklich etwas?,Überraschung
Wissenschaftler warnen vor enormen Schäden durch Hochwasser,Antizipation
SVP zieht ihren Kandidaten für das Bundesgericht in letzter Minute zurück,Antizipation
Kleines Plädoyer für das garantierte Grundeinkommen,Antizipation
Demokratie contra Facebook,Antizipation
"Kann sich der Islam mit dem freiheitlichen Verfassungsstaat versöhnen? Und was wäre, wenn darauf keine Aussicht bestünde?",Antizipation
Darüber ärgern sich Schweizer Touristen,Unklar
Braucht eine kleinere EU weniger Geld?,Antizipation
Beschuldigte sollen ihre Unschuld beweisen müssen,Antizipation
«Es könnte zu einem Teufelskreis führen»,Antizipation
«Es könnte zu einem Teufelskreis führen»,Angst
"«Das ist sehr sexistisch, rassistisch und homophob!»",Unklar
Bedingungsloser Denkanstoss?,Antizipation
Zweifel am Kosten-Nutzen-Verhältnis der Telefonüberwachung,Antizipation
Berlin testet Gesichtserkennung,Antizipation
"Der Uno-Menschenrechtsrat: symbolisch wichtig, faktisch machtlos",Unklar
Nach dem Frauenstreik: Beim Kanton sollen mehr Frauen Karriere machen können,Antizipation
Aus Hochschul-Instituten werden wieder Wohnhäuser,Unklar
Die EU-Staaten fordern die Schweiz zur Annahme des Rahmenvertrags auf,Antizipation
Europas Mühen mit den afrikanischen Migranten,Antizipation
Das ist nicht von Pappe,Freude
Trump versammelt Trolle und Verschwörungstheoretiker im Weissen Haus,Ekel
Trump versammelt Trolle und Verschwörungstheoretiker im Weissen Haus,Vertrauen
Bürgerliche befürworten Spezialtarif für ausländische ETH-Studenten,Überraschung
Bürgerliche befürworten Spezialtarif für ausländische ETH-Studenten,Antizipation
Subventionen gehen an Zulieferer,Traurigkeit
Kommt die Homo-Ehe jetzt nach Deutschland?,Antizipation
Kommt die Homo-Ehe jetzt nach Deutschland?,Freude
Hooligans greifen Kroatien-Coach Kovac an,Ärger
Amerikanische Technologiekonzerne sperren Huawei aus,Überraschung
Amerikanische Technologiekonzerne sperren Huawei aus,Antizipation
Höheres Haftungsrisiko für Hersteller selbstfahrender Fahrzeuge,Antizipation
Höheres Haftungsrisiko für Hersteller selbstfahrender Fahrzeuge,Vertrauen
Was der Bundesrat bei der AHV-Vorlage verschweigt,Antizipation
«Ein Grundeinkommen löst die Probleme nicht»,Antizipation
«Ein Grundeinkommen löst die Probleme nicht»,Angst
Ständerat sagt Ja zu Stiefkindadoption für Homosexuelle,Antizipation
Ständerat sagt Ja zu Stiefkindadoption für Homosexuelle,Vertrauen
Weiterer Gefängnismitarbeiter nach Ausbruch in den USA festgenommen,Unklar
Studie: Städte profitieren von Zuwanderung aus der EU,Freude
Ausreisesperren gegen Polit-Hooligans,Antizipation
Sind wir feige geworden?,Überraschung
Sind wir feige geworden?,Antizipation
Die neue Art der Verschwörungstheorie: Es zählt die krude Behauptung,Ärger
Die Zürcher SVP beklagt sich über den Freisinn,Überraschung
Die Zürcher SVP beklagt sich über den Freisinn,Traurigkeit
Schweizer sind bei den Fleissigsten,Überraschung
Der Glanz des Silicon Valley verblasst,Überraschung
Der Glanz des Silicon Valley verblasst,Antizipation
Wird der Staat überflüssig?,Überraschung
Grosskonzerne wollen Plastik bei Verpackungen reduzieren,Vertrauen
Swiss muss Datenschutz-Leck stopfen,Überraschung
Eine Legislatur ganz nach dem Gusto der FDP,Vertrauen
Nationalrat will Zweck der Schuldenbremse gesetzlich absichern,Antizipation
Nationalrat will Zweck der Schuldenbremse gesetzlich absichern,Vertrauen
Schuldenabbau oder Zusatzgelder für die AHV?,Antizipation
Schuldenabbau oder Zusatzgelder für die AHV?,Vertrauen
Jedes Google-Gadget wird intelligent,Überraschung
Jedes Google-Gadget wird intelligent,Freude
Amazon bezahlt höheren US-Mindestlohn,Freude
Amazon bezahlt höheren US-Mindestlohn,Vertrauen
Google macht die Kamera zum Browser der realen Welt,Freude
Die Bewohner der Zürcher City wollen sich von den Partygästen und ihrem Lärm nicht vertreiben lassen,Antizipation
Die Initiative «Wildhüter statt Jäger» auf einen Blick,Antizipation
Die Initiative «Wildhüter statt Jäger» auf einen Blick,Vertrauen
Im südlichen Afrika geht die schlimmste Dürre seit 1981 zu Ende – aber jetzt droht eine Hungersnot,Traurigkeit
Richter erkennen kein «Racial Profiling»,Vertrauen
Trump will die Grenze zu Mexiko militärisch schützen,Vertrauen
Tunnel in grösster US-Atomanlage Hanford eingestürzt,Angst
Bald gibts eine Extremismus-Hotline,Vertrauen
"Die SVP will ihr Lieblingswort zurück, Heimatland!",Antizipation
"Die SVP will ihr Lieblingswort zurück, Heimatland!",Vertrauen
Papst ruft in Kairo  Religionen zu Kampf gegen Extremismus auf,Freude
Papst ruft in Kairo  Religionen zu Kampf gegen Extremismus auf,Vertrauen
"Ich denke, also spinn ich",Unklar
"Seit Chinas Einfuhrsperre landet der Plastikmüll der Welt in Malaysia und Indonesien. Von Protesten der Anwohner keine Spur, im Gegenteil",Überraschung
"Seit Chinas Einfuhrsperre landet der Plastikmüll der Welt in Malaysia und Indonesien. Von Protesten der Anwohner keine Spur, im Gegenteil",Ekel
Ein starker Datenschutz nützt der Wirtschaft,Antizipation
Ein starker Datenschutz nützt der Wirtschaft,Vertrauen
Brüssels grober Keil,Ärger
Brüssels grober Keil,Antizipation
Studie zeigt: Testosteron hilft depressiven Männern,Freude
Studie zeigt: Testosteron hilft depressiven Männern,Vertrauen
Liechtenstein erhöht die Strafen für Kindsmissbrauch,Antizipation
Liechtenstein erhöht die Strafen für Kindsmissbrauch,Vertrauen
Die Leiden der jungen SVP,Traurigkeit
Bundesrat spielt Ball in Sachen Vaterschaftsurlaub den Kantonen zu,Antizipation
«Er starb in meinen Armen»,Traurigkeit
Die Franchisen sollen nun doch nicht steigen: Die SVP macht linksumkehrt,Überraschung
Die Franchisen sollen nun doch nicht steigen: Die SVP macht linksumkehrt,Ärger
Die Franchisen sollen nun doch nicht steigen: Die SVP macht linksumkehrt,Antizipation
«74 in der SVP-Fraktion? Donnerwetter!»,Freude
Wie die Chinesen die Schweiz erobern,Überraschung
Wie die Chinesen die Schweiz erobern,Freude
Pfiffe im Letzi sind unnötig!,Vertrauen
Die Familie wird niemals ein Auslaufmodell sein,Vertrauen
Seit 2004 sind 27 Verwahrte freigekommen,Überraschung
Seit 2004 sind 27 Verwahrte freigekommen,Traurigkeit
"Müsste die EU der Schweiz nicht einen Betrag für den Marktzugang zahlen?, fragt SVP-Präsident Rösti und erhält vom Bundesrat eine Ökonomie-Lektion",Antizipation
"Müsste die EU der Schweiz nicht einen Betrag für den Marktzugang zahlen?, fragt SVP-Präsident Rösti und erhält vom Bundesrat eine Ökonomie-Lektion",Vertrauen
Der amerikanische Kulturkampf um die Abtreibungsfrage – eine Chronologie,Überraschung
Mein Grounding,Antizipation
Exit will das Thema «Altersfreitod» weiter enttabuisieren,Vertrauen
Wie die EU-Kommission die künstliche Intelligenz fördern will,Freude
«Ich möchte auch als Jäger in die erste Liga»,Freude
Bundesrat will bei Medikamenten 240 Millionen Franken sparen,Freude
"Der Öko-Populismus ist nicht so niedlich, wie er scheint",Unklar
So will Galaxus das Plastik-Debakel stoppen,Freude
Reisen mit öffentlichem Verkehr wird im Dezember nicht teurer,Vertrauen
Der Zürcher Kantonsrat will die Fifa nicht stärker besteuern,Ärger
«Die Schweiz könnte Jemen als Vorbild dienen»,Antizipation
«Die Schweiz könnte Jemen als Vorbild dienen»,Traurigkeit
So bewerten Forscher den Zusammenhang zwischen Klimawandel und Bevölkerungswachstum,Antizipation
So bewerten Forscher den Zusammenhang zwischen Klimawandel und Bevölkerungswachstum,Angst
In der Schweiz werden mehr rassistische Zwischenfälle am Arbeitsplatz registriert,Traurigkeit
Aggressive Kleinkredit-Werbung wird verboten,Antizipation
«Mann und Mann geht nicht»,Antizipation
«Mann und Mann geht nicht»,Traurigkeit
Wie Konfessionslose und Muslime Millionen für die Kirchen zahlen,Überraschung
Wie Konfessionslose und Muslime Millionen für die Kirchen zahlen,Antizipation
"Drogen zu verteufeln, nützt nur den Dealern",Traurigkeit
Die Zerschlagung der Tech-Giganten ist keine Lösung,Antizipation
De Maizière warnt an Konferenz vor «dunkler Seite» der Migration,Antizipation
Google drängt zurück nach China,Antizipation
"Ehe für alle, Hochzeit allein",Vertrauen
Fliegen ist zu billig,Unklar
Ueli Maurer hat eine «genderneutrale» Erhöhung des Rentenalters vorgeschlagen – ohne Erfolg,Antizipation
Ueli Maurer hat eine «genderneutrale» Erhöhung des Rentenalters vorgeschlagen – ohne Erfolg,Vertrauen
Menschenrechtsgericht stärkt Privatsphäre am Arbeitsplatz,Ärger
Wann fällt jetzt endlich die Heiratsstrafe?,Überraschung
Google beschränkt Microtargeting für politische Werbung,Vertrauen
EU-Kommission zeigt sich besorgt über Schutz der Aussengrenze,Ärger
Wie viele Eltern kann das Kind eines lesbischen Ehepaares haben?,Überraschung
Wie viele Eltern kann das Kind eines lesbischen Ehepaares haben?,Antizipation
Das EU-Parlament unterstützt das Plastikgeschirr-Verbot,Antizipation
Das EU-Parlament unterstützt das Plastikgeschirr-Verbot,Vertrauen
Brexit-Mandat der EU wirft für die Schweiz Fragen auf,Unklar
"Sie sahen die Zukunft, bevor sie da war",Überraschung
"Sie sahen die Zukunft, bevor sie da war",Freude
Die Altersvorsorge ist weiterhin die grösste Sorge der Schweizer,Überraschung
Die Altersvorsorge ist weiterhin die grösste Sorge der Schweizer,Angst
Beim Strom bald Zustände wie in der Landwirtschaft?,Überraschung
Beim Strom bald Zustände wie in der Landwirtschaft?,Ärger
Beim Strom bald Zustände wie in der Landwirtschaft?,Antizipation
Fünf Fakten zu Google in Zürich,Vertrauen
Wirkungsvolle Massnahme zur Minderung des Plastiksäckli-Verbrauchs,Freude
Wirkungsvolle Massnahme zur Minderung des Plastiksäckli-Verbrauchs,Vertrauen
Wird das Volk über die Kündigung des Freizügigkeitsabkommens abstimmen? Gibt es mehr Einwanderung als vorher? Die wichtigsten Fragen zur Migrationsdebatte im Nationalrat,Antizipation
Iowas Parlament verabschiedet strengstes Abtreibungsgesetz der USA,Angst
Jagdverbotsinitiative geht selbst SP und Grünen zu weit,Überraschung
Jagdverbotsinitiative geht selbst SP und Grünen zu weit,Antizipation
Mehr als nur Impfen,Angst
«Das ist die neue Normalität»,Antizipation
«Das ist die neue Normalität»,Angst
Wie die künstliche Intelligenz in die Hose kam,Überraschung
Bundesverwaltung erreicht Zielwert bei Frauen in Spitzenpositionen,Freude
Verkäuferinnen müssen sich gegen aggressive Self-Scanning-Kunden wehren,Traurigkeit
Contra: Die Negativzinsen sind längst kontraproduktiv,Überraschung
Der Hunger in Afrika nimmt zu,Traurigkeit
Die US-Sanktionen gefährden den Siegeszug der Huawei-Smartphones,Angst
Obdachlosigkeit und ständige Staus: Im Silicon Valley sollen die grossen Tech-Firmen bei der Lösung der Probleme helfen,Ärger
Russland und seine Athleten sind für vier Jahre vom Sport ausgeschlossen. Aber es ist ein Bann mit Lücken,Ärger
Zeichen gegen fromme Querulanten,Vertrauen
Nationalrat nähert sich beim Datenschutz der EU an – Frage des Profilings noch ungelöst,Antizipation
Nationalrat nähert sich beim Datenschutz der EU an – Frage des Profilings noch ungelöst,Vertrauen
Abtreibungen werden in Spanien erschwert,Antizipation
Uni Basel will Studenten das Fliegen verbieten,Überraschung
Uni Basel will Studenten das Fliegen verbieten,Antizipation
Immer wieder hebt das Gericht lebenslange Verwahrungen auf,Ärger
Immer wieder hebt das Gericht lebenslange Verwahrungen auf,Ekel
"Afrikaner, Europäer, Chinese – wer ist hier wer?",Überraschung
Kampf gegen Doping: Die Omertà im Radsport beginnt zu bröckeln,Überraschung
Die Strafverfolger haben weniger Telefonüberwachungen angeordnet,Antizipation
Staatsanwaltschaft fordert erneut lebenslange Verwahrung,Ekel
Alle reden nach Aeschis Diktat,Ekel
Berset sieht in Reform der Altersvorsorge echten Kompromiss,Antizipation
Berset sieht in Reform der Altersvorsorge echten Kompromiss,Vertrauen
Roll-back im Klimaschutz gebremst,Vertrauen
Ohne Einigung mit der EU wird der bilaterale Weg schleichend erodieren,Antizipation
Ohne Einigung mit der EU wird der bilaterale Weg schleichend erodieren,Angst
Neues Adoptionsrecht unter Dach und Fach,Antizipation
Um was geht es bei der Energiestrategie 2050?,Keine
Um was geht es bei der Energiestrategie 2050?,Vertrauen
Die Kirchen liegen dem französischen Staat schwer auf der Tasche – zum Glück helfen Spender,Überraschung
Die Maklerin der Krypto-Milliardäre,Antizipation
Der kassenlose Laden kommt in die Schweiz –wird bald auch Gesichtserkennung eingesetzt?,Antizipation
Dürfen Vegi-Produkte «Schnitzel» und «Wurst» heissen?,Keine
Dürfen Vegi-Produkte «Schnitzel» und «Wurst» heissen?,Vertrauen
Wieso plötzlich alle in Deutschland den Mindestlohn toll finden,Überraschung
Wieso plötzlich alle in Deutschland den Mindestlohn toll finden,Ärger
Ständerat möchte Krawalltourismus verbieten,Antizipation
Brunschwig Graf: Burkadebatte ist Vorwand für Angriff auf den Islam,Ärger
EU strenger mit der Schweiz als mit ihren Mitgliedern,Ärger
Lieber Jobs als Zinsen!,Unklar
Höhere ETH-Gebühren nur für Ausländer,Ärger
Die Islam-Organisationen müssen sich selber hinterfragen,Unklar
Die Antwort auf Trump heisst TTIP,Ärger
Die Antwort auf Trump heisst TTIP,Antizipation
Trotz Emissionsrückgang wird noch zu viel fossile Energie verheizt,Antizipation
Trotz Emissionsrückgang wird noch zu viel fossile Energie verheizt,Vertrauen
Ausstieg aus der Irrationalität,Antizipation
Ausstieg aus der Irrationalität,Vertrauen
SNB-Direktionsmitglied Maechler sieht keine Ende der Negativzinsen,Antizipation
SNB-Direktionsmitglied Maechler sieht keine Ende der Negativzinsen,Vertrauen
Technik passt sich dem Menschen an,Freude
Technik passt sich dem Menschen an,Vertrauen
Eigenverantwortung nur für die anderen,Angst
Bund soll die Schaffung von Krippenplätzen weiterhin fördern,Freude
Bund soll die Schaffung von Krippenplätzen weiterhin fördern,Vertrauen
Nach Ausländern sollen nun auch Teenager in der Stadt Zürich politisch mitreden dürfen,Überraschung
Er wollte den Tod seines Freundes,Ekel
Er wollte den Tod seines Freundes,Traurigkeit
Schwere Doping-Vorwürfe gegen einen Schweizer Sportarzt – Hausdurchsuchung in Bern,Überraschung
Schwere Doping-Vorwürfe gegen einen Schweizer Sportarzt – Hausdurchsuchung in Bern,Ärger
Das Google-Auto ist zu gefährlich,Freude
70 Personen sterben auf der Pazifikinsel Samoa an Masern – Schuld sind ein Gesundheitsskandal und die Propaganda der Impfgegner,Traurigkeit
70 Personen sterben auf der Pazifikinsel Samoa an Masern – Schuld sind ein Gesundheitsskandal und die Propaganda der Impfgegner,Angst
Österreichs Bundeskanzler plädiert in China für fairen Welthandel,Freude
Österreichs Bundeskanzler plädiert in China für fairen Welthandel,Vertrauen
Vergewaltiger sollen auf jeden Fall hinter Gitter,Unklar
Rund 300 Schwarzbären bei kurzer Jagd-Freigabe in Florida erlegt,Überraschung
5 Folgen für die Schweiz,Angst
So umgeht die SVP das Polit-Werbeverbot,Überraschung
So umgeht die SVP das Polit-Werbeverbot,Ärger
USA treten aus UN-Menschenrechtsrat aus,Überraschung
Schulen sollen Banngebiet werden,Ärger
Später Angriff auf die Papi-Zeit: Nun wird das Referendum gegen zwei Wochen Vaterschaftsurlaub doch noch lanciert,Überraschung
Die inflationäre Rede von Rassismus ist kontraproduktiv,Traurigkeit
Aktivisten blockieren Strasse zu London Heathrow,Traurigkeit
«Islamischen Zentralrat verbieten»,Unklar
Mindestlohn in Kalifornien soll auf 15 Dollar steigen,Unklar
Noch vor kurzem war die grüne Welle nicht mehr als ein Störfaktor für die SVP. Jetzt aber rät Christoph Blocher zum Angriff,Überraschung
Vier von fünf gut ausgebildeten Schweizern begrüssen Zuwanderung,Überraschung
Ein bilateraler Marschhalt oder: Das Ende der Schweizer Lebenslüge,Angst
In Polen beginnt die Weltklimakonferenz – und in der Schweiz beginnt die Totalrevision des CO2-Gesetzes,Vertrauen
Auch Zürcher Opernhaus in Sorge um Starregisseur Serebrennikow,Unklar
Mexiko geht härter mit Migranten um,Ärger
Mexiko geht härter mit Migranten um,Angst
Der Flugverkehr steht am Klima-Pranger – dabei ist er mit seinen Hausaufgaben in Sachen Klimaschutz auf Kurs,Antizipation
Der Flugverkehr steht am Klima-Pranger – dabei ist er mit seinen Hausaufgaben in Sachen Klimaschutz auf Kurs,Vertrauen
«Mexiko wird Bau von Mauer bezahlen»,Ärger
Neuer US-Umweltchef zweifelt Rolle von CO2 bei Klimawandel an,Überraschung
Neuer US-Umweltchef zweifelt Rolle von CO2 bei Klimawandel an,Ärger
Kantone brauchen die Zuwanderung,Überraschung
Kantone brauchen die Zuwanderung,Vertrauen
Der Kanton Zürich erhält ein neues Jagdgesetz,Vertrauen
Junge Schweizer Muslime gehen selbstbestimmt mit ihrer Religion um,Vertrauen
Der IMF ruft die Finanzminister zum Kampf gegen den Klimawandel auf,Vertrauen
Der IMF ruft die Finanzminister zum Kampf gegen den Klimawandel auf,Angst
Drei Engel für Outfittery,Freude
Drei Engel für Outfittery,Vertrauen
Japaner testen die 4-Tage-Woche,Freude
Japaner testen die 4-Tage-Woche,Vertrauen
Google baut ein «echtes Hirn» in Zürich,Freude
Google baut ein «echtes Hirn» in Zürich,Vertrauen
Daran arbeitet Apple beim autonomen Fahren,Freude
Daran arbeitet Apple beim autonomen Fahren,Vertrauen
Das ist die Schweiz von Mittelamerika,Freude
Frickers Nachfolgerin Irène Kälin will Islam anerkennen,Ärger
Frickers Nachfolgerin Irène Kälin will Islam anerkennen,Traurigkeit
Frickers Nachfolgerin Irène Kälin will Islam anerkennen,Vertrauen
Auf den Pariser Strassen hat es mehr Obdachlose als offiziell angenommen,Traurigkeit
Arbeitgeber für Papis und Mamis,Freude
Arbeitgeber für Papis und Mamis,Vertrauen
Jetzt zittern 211 gedopte Sportler!,Unklar
«Für mich ist jeder Kunde wie ein Gast»,Freude
«Für mich ist jeder Kunde wie ein Gast»,Vertrauen
Finanzverwaltungs-Direktor Serge Gaillard ruft zum Masshalten auf,Vertrauen
Finanzverwaltungs-Direktor Serge Gaillard ruft zum Masshalten auf,Angst
Die SVP verrät ihre Wähler!,Ärger
Die SVP verrät ihre Wähler!,Ekel
Atommüll-Gemeinden sagten Nein zum Ausstieg,Unklar
Autonomes Fahren ist noch ein Luftschloss,Antizipation
Die Umweltverantwortung des Einzelnen in der Demokratie,Antizipation
Der 15-Dollar-Mindestlohn: so nah und doch so fern,Antizipation
"Herr Rösti, das schmeckt nach Niederlage",Ärger
Die SVP hat noch ein Ass im Ärmel,Antizipation
Cannabis als Schmerzmittel: ein Mythos,Überraschung
Cannabis als Schmerzmittel: ein Mythos,Ärger
Cannabis als Schmerzmittel: ein Mythos,Antizipation
"Das Zürcher Stadion-Tram muss weg, fordern die «Ensemble»-Gegner",Antizipation
"1,5 Prozent mehr Mehrwertsteuer, Rentenalter 65 für Frauen",Vertrauen
Umfrage: Schweizer Ärzte sollen aktiver bei Sterbehilfe sein,Vertrauen
Starke Umverteilung trotz Steuertourismus,Überraschung
Diese Aktien machen high,Unklar
Jura-Parlament schreibt Mindestlohn von 20 Franken pro Stunde fest,Antizipation
Jura-Parlament schreibt Mindestlohn von 20 Franken pro Stunde fest,Freude
Die Welt macht einen Schritt zurück – auch wegen des Klimawandels,Angst
Mütter sollen nicht mehr besser sein,Überraschung
